Name of institute,Cource,Opening Rank,Closing Rank
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",9106,13018
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",2372,3404
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",5017,6505
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",3464,4798
Indian Institute of Technology Bhubaneswar,"Engineering Physics (4 Years, Bachelor of Technology)",9435,9974
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",7135,9362
Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",10181,13429
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",585,2388
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",631,1191
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",650,2507
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",5268,6969
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",2244,3986
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1,68
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",1421,2282
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",15,464
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",496,934
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",1687,2557
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",92,1532
Indian Institute of Technology Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",3424,4716
Indian Institute of Technology Bombay,"Industrial Engineering and Operations Research (4 Years, Bachelor of Technology)",1042,1726
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",666,1685
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",2690,4175
Indian Institute of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",7173,10134
Indian Institute of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",10553,12810
Indian Institute of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",2614,3904
Indian Institute of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",3980,5467
Indian Institute of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",11233,12957
Indian Institute of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",12900,15119
Indian Institute of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",8925,11499
Indian Institute of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",1803,2869
Indian Institute of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",2955,3837
Indian Institute of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",4772,6400
Indian Institute of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",8794,9717
Indian Institute of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",6947,8829
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",3677,4754
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",1689,2207
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",2629,3593
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",2428,4108
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",27,116
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",128,204
Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",382,622
Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",646,810
Indian Institute of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",1898,2646
Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",890,1154
Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",1445,2423
Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",2422,3787
Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",118,329
Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",332,413
